born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
328,777,81,144,0,9,81,0,302,59029
86,220,6,31,0,1,54,0,116,59713
94,262,15,57,0,7,49,0,120,59727
35,102,6,17,0,0,4,0,59,59731
188,252,6,36,0,0,52,0,118,59739
9413,19376,1877,2558,483,1953,3619,89,8873,59802
7956,19403,1898,4663,205,1304,2316,57,7468,59808
1653,2234,90,249,5,55,311,0,965,59829
293,899,52,234,9,1,104,4,354,59832
56,109,30,10,7,0,8,0,44,59484
185,692,31,129,6,4,111,0,267,59038
105,657,32,222,0,24,259,0,195,59213
16,42,3,4,0,0,0,0,20,59703
14,32,8,11,0,0,0,0,10,59461
123,222,25,51,3,0,16,0,75,59007
31,48,0,0,0,0,10,0,37,59256
3,29,0,9,0,0,0,0,10,59240
39,63,5,3,0,0,16,0,34,59724
48,118,13,12,0,0,3,0,57,59419
36,319,4,112,0,1,76,0,99,59525
42,95,0,0,0,0,16,0,43,59640
77,199,5,37,0,6,75,0,80,59418
22,41,0,0,0,0,25,0,19,59863
38,108,0,33,0,0,56,0,32,59830
194,361,27,52,0,24,105,0,192,59856
71,347,50,72,3,5,42,1,162,59489
104,240,7,58,8,5,8,0,88,59760
18,42,4,13,0,0,0,0,17,59312
42,55,2,25,0,0,42,0,15,59082
1018,2413,300,648,0,61,132,42,938,59313
1372,3585,183,740,48,83,382,4,1726,59474
423,1000,77,169,6,19,224,0,427,59639
1520,3658,330,944,0,28,183,0,1307,59752
104,258,25,50,0,0,18,4,91,59732
140,214,0,18,4,0,45,0,113,59827
235,375,10,39,0,0,61,0,183,59647
609,2897,145,685,21,0,381,0,1110,59538
55,193,12,61,0,0,47,0,62,59544
182,331,36,43,5,2,23,0,138,59008
195,399,24,83,2,0,54,0,163,59024
428,757,32,101,0,40,155,0,297,59027
736,1770,208,382,39,13,174,14,712,59041
241,642,87,43,1,10,121,0,303,59057
10,15,0,5,0,0,0,0,4,59062
19,67,5,5,0,0,6,0,22,59085
7350,16552,2719,4277,201,480,475,46,6131,59106
175,941,59,150,0,4,75,0,398,59215
294,538,18,77,0,0,57,0,202,59231
