,born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
0,777,328,81,144,0,9,81,0,302,59029
1,220,86,6,31,0,1,54,0,116,59713
2,262,94,15,57,0,7,49,0,120,59727
3,102,35,6,17,0,0,4,0,59,59731
4,252,188,6,36,0,0,52,0,118,59739
5,19376,9413,1877,2558,483,1953,3619,89,8873,59802
6,19403,7956,1898,4663,205,1304,2316,57,7468,59808
7,2234,1653,90,249,5,55,311,0,965,59829
8,899,293,52,234,9,1,104,4,354,59832
9,109,56,30,10,7,0,8,0,44,59484
10,692,185,31,129,6,4,111,0,267,59038
11,657,105,32,222,0,24,259,0,195,59213
12,42,16,3,4,0,0,0,0,20,59703
13,32,14,8,11,0,0,0,0,10,59461
14,222,123,25,51,3,0,16,0,75,59007
15,48,31,0,0,0,0,10,0,37,59256
16,29,3,0,9,0,0,0,0,10,59240
17,63,39,5,3,0,0,16,0,34,59724
18,118,48,13,12,0,0,3,0,57,59419
19,319,36,4,112,0,1,76,0,99,59525
20,95,42,0,0,0,0,16,0,43,59640
21,199,77,5,37,0,6,75,0,80,59418
22,41,22,0,0,0,0,25,0,19,59863
23,108,38,0,33,0,0,56,0,32,59830
24,361,194,27,52,0,24,105,0,192,59856
25,347,71,50,72,3,5,42,1,162,59489
26,240,104,7,58,8,5,8,0,88,59760
27,42,18,4,13,0,0,0,0,17,59312
28,55,42,2,25,0,0,42,0,15,59082
29,2413,1018,300,648,0,61,132,42,938,59313
30,3585,1372,183,740,48,83,382,4,1726,59474
31,1000,423,77,169,6,19,224,0,427,59639
32,3658,1520,330,944,0,28,183,0,1307,59752
33,258,104,25,50,0,0,18,4,91,59732
34,214,140,0,18,4,0,45,0,113,59827
35,375,235,10,39,0,0,61,0,183,59647
36,2897,609,145,685,21,0,381,0,1110,59538
37,193,55,12,61,0,0,47,0,62,59544
38,331,182,36,43,5,2,23,0,138,59008
39,399,195,24,83,2,0,54,0,163,59024
40,757,428,32,101,0,40,155,0,297,59027
41,1770,736,208,382,39,13,174,14,712,59041
42,642,241,87,43,1,10,121,0,303,59057
43,15,10,0,5,0,0,0,0,4,59062
44,67,19,5,5,0,0,6,0,22,59085
45,16552,7350,2719,4277,201,480,475,46,6131,59106
46,941,175,59,150,0,4,75,0,398,59215
47,538,294,18,77,0,0,57,0,202,59231
48,2135,798,204,429,1,52,287,0,801,59254
49,91,31,8,5,0,0,12,5,51,59258
50,152,138,9,11,0,6,6,0,78,59311
51,187,146,21,42,0,2,16,0,70,59332
52,4612,1394,275,1571,10,149,1147,25,1348,59427
53,115,25,3,0,0,1,15,0,59,59432
54,537,218,21,133,0,0,81,0,186,59443
55,131,24,8,68,0,0,77,0,41,59530
56,1980,1314,216,360,0,38,272,5,928,59730
57,1823,879,70,279,12,43,299,0,787,59632
58,282,180,33,35,0,28,91,17,108,59740
59,167,84,8,5,0,0,5,0,90,59747
60,1634,1230,122,244,0,14,165,8,859,59758
61,17318,7309,1835,4198,306,551,1336,137,6506,59803
62,427,141,14,96,0,6,128,4,185,59831
63,5573,2369,449,1314,78,232,315,3,2085,59847
64,200,118,25,11,4,0,14,0,99,59854
